local,filename,path,trinca,solda_fria,outros,celula_escura
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
24D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
2A,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
2C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
2E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
3B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
3F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,0,1,0,1
11B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
11D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
12A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
13F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
14D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
15F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
16B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
16D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
16F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,0,0,1
17F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
19A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,1,0,0,1
19B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
1D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
20B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
20C,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
20F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
21B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
21D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
22B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
22D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
23C,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
23E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
24D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
2C,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
3B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
3F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,0,1,0,1
